SectionID,StudentCount,Courses
S1_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA104,CSC111"
S2_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA105,CSC111"
S3_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA104,CSC111"
S4_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA105,CSC111"
S5_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA104,CSC111"
S6_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA105,CSC111"
S7_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA104,CSC111"
S8_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA105,CSC111"
S9_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA104,CSC111"
S10_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA105,CSC111"
S11_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA104,CSC111"
S12_L1,20,"LRA401,LRA101,PHY113,ECE111,MTH111,LRA105,CSC111"
S1_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,LRA306,CSE214"
S2_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,LRA306,CSE214"
S3_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,LRA306,CSE214"
S4_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,LRA306,CSE214"
S5_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,LRA306,CSE214"
S6_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,LRA306,CSE214"
S7_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,LRA306,CSE214"
S8_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,LRA306,CSE214"
S9_L2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,LRA306,CSE214"
S1_AID_L3,20,"AID312,CNC311,AID311,CNC314,ECE324"
S2_AID_L3,20,"AID312,CNC311,AID311,CNC314,ECE324"
S3_AID_L3,20,"AID312,CNC311,AID311,CNC314,ECE324"
S4_AID_L3,20,"AID312,CNC311,AID311,CNC314,ECE324"
S1_CNC_L3,20,"AID312,CNC311,CNC314,CNC312,CSC317"
S2_CNC_L3,20,"AID312,CNC311,CNC314,CNC312,CSC317"
S3_CNC_L3,20,"AID312,CNC311,CNC314,CNC312,CSC317"
S4_CNC_L3,20,"AID312,CNC311,CNC314,CNC312,CSC317"
S1_CSC_L3,20,"AID312,CNC311,CNC314,CSC314,CSC317"
S1_BIF_L3,20,"BIF311,AID312,CNC311,CSC315,CNC314"
S1_AID_L4,20,"AID414,AID427,AID428,AID417,AID413,AID411"
S2_AID_L4,20,"AID414,AID427,AID428,AID417,AID413,AID411"
S3_AID_L4,20,"AID414,AID427,AID428,AID417,AID413,AID411"
S4_AID_L4,20,"AID414,AID427,AID428,AID417,AID413,AID411"
S1_CNC_L4,20,"CNC414,CNC415,CNC418,CNC419,CNC411"
S2_CNC_L4,20,"CNC414,CNC415,CNC418,CNC419,CNC411"
S3_CNC_L4,20,"CNC414,CNC415,CNC418,CNC419,CNC411"
S4_CNC_L4,20,"CNC414,CNC415,CNC418,CNC419,CNC411"
S1_CSC_L4,20,"CSC410,CSC411,CSC412,CSC413,CSC414,CSC415"
S1_BIF_L4,20,"BIF411,BIF412,BIF413,BIF410,BIF424"
